defteam,def_front,play_type,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
HOU,,pass,1,,,,,,0.0,0.0,0.0,
IND,Light (≤5),pass,155,0.018291332,0.4516129,6.496774,0.019354839,0.3419355,0.14838709677419354,3.0,9.0,5.449438
IND,Light (≤5),run,15,0.8992515,0.6666667,8.533334,0.06666667,0.53333336,0.0,0.0,0.0,
IND,Standard (6),pass,358,0.12616809,0.4888268,6.874302,0.039106146,0.34078214,0.1340782122905028,8.0,19.0,4.7488585
IND,Standard (6),run,239,-0.0920902,0.44351465,4.09205,0.020920502,0.25941423,0.0,0.0,0.0,
IND,Heavy (7),pass,115,-0.14197986,0.42608696,5.5826087,0.017391304,0.28695652,0.17391304347826086,3.0,8.0,5.2941175
IND,Heavy (7),run,140,-0.03644657,0.42142856,3.8642857,0.05,0.2857143,0.0,0.0,0.0,
IND,Stacked (8+),pass,36,-0.1455322,0.3888889,3.0833333,0.16666667,0.2777778,0.1111111111111111,0.0,3.0,3.0952382
IND,Stacked (8+),run,41,-0.16171649,0.4390244,2.2195122,0.07317073,0.3902439,0.0,0.0,0.0,
IND,,run,2,,,,,,0.0,0.0,0.0,
JAX,Light (≤5),pass,135,-0.42873427,0.32592592,4.540741,0.014814815,0.22222222,0.15555555555555556,4.0,5.0,4.175676
JAX,Light (≤5),run,16,-0.12584113,0.3125,6.4375,0.0625,0.125,0.0,0.0,0.0,
JAX,Standard (6),pass,346,-0.036395308,0.43930635,5.728324,0.028901733,0.30057803,0.13872832369942195,12.0,20.0,4.224299
JAX,Standard (6),run,211,0.0081073865,0.4265403,4.49763,0.028436018,0.27962086,0.0,0.0,0.0,
JAX,Heavy (7),pass,164,0.010188943,0.47560975,6.22561,0.06097561,0.33536586,0.12804878048780488,3.0,7.0,4.7525773
JAX,Heavy (7),run,111,-0.12922336,0.3063063,3.2162163,0.036036037,0.14414415,0.0,0.0,0.0,
JAX,Stacked (8+),pass,26,-0.97690827,0.3846154,3.6538463,0.1923077,0.34615386,0.15384615384615385,3.0,0.0,2.5454545
JAX,Stacked (8+),run,21,0.014910801,0.5714286,2.7619047,0.0952381,0.42857143,0.0,0.0,0.0,
KC,Light (≤5),pass,98,-0.115135536,0.39795917,5.877551,0.05102041,0.26530612,0.2857142857142857,1.0,13.0,5.0
KC,Light (≤5),run,18,0.05286783,0.5,5.6666665,0.055555556,0.33333334,0.0,0.0,0.0,
KC,Standard (6),pass,319,0.060607266,0.46394983,6.354232,0.018808777,0.30094042,0.1755485893416928,5.0,17.0,5.722772
