defteam,coverage_look,down,pressure_flag,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
DAL,Heavy Blitz (6+),,0,3,,,,,,0.0,0.0,0.0,
DAL,,1.0,0,44,-0.004983711,0.4090909,2.8636363,0.13636364,0.18181819,0.0,0.0,0.0,
DAL,,2.0,0,29,0.32624915,0.4827586,3.724138,0.31034482,0.37931034,0.0,0.0,0.0,
DAL,,3.0,0,13,0.2397914,0.6923077,2.3076923,0.23076923,0.6923077,0.0,0.0,0.0,
DAL,,4.0,0,1,,,,,,0.0,0.0,0.0,
DAL,,,0,1,,,,,,0.0,0.0,0.0,
DEN,Light (≤3),1.0,0,2,,,,,,0.0,0.0,0.0,
DEN,Light (≤3),2.0,0,2,,,,,,0.0,0.0,0.0,
DEN,Light (≤3),3.0,0,1,,,,,,0.0,0.0,0.0,
DEN,Base (4),1.0,0,7,,,,,,0.0,0.0,0.0,
DEN,Base (4),1.0,1,2,,,,,,1.0,0.0,1.0,
DEN,Base (4),2.0,0,12,-0.08029608,0.25,3.8333333,0.083333336,0.16666667,0.0,0.0,0.0,2.5
DEN,Base (4),2.0,1,4,,,,,,1.0,0.0,0.0,
DEN,Base (4),3.0,0,17,0.38173112,0.3529412,4.2352943,0.29411766,0.3529412,0.0,0.0,0.0,3.4444444
DEN,Base (4),3.0,1,5,,,,,,1.0,0.0,1.0,
DEN,Base (4),4.0,0,3,,,,,,0.0,0.0,0.0,
DEN,Base (4),,0,1,,,,,,0.0,0.0,0.0,
DEN,Blitz (5),1.0,0,6,,,,,,0.0,1.0,0.0,
DEN,Blitz (5),1.0,1,3,,,,,,1.0,0.0,1.0,
DEN,Blitz (5),2.0,0,10,0.01280967,0.4,2.2,0.1,0.3,0.0,0.0,0.0,2.6666667
DEN,Blitz (5),2.0,1,3,,,,,,1.0,1.0,1.0,
DEN,Blitz (5),3.0,0,4,,,,,,0.0,0.0,0.0,
DEN,Blitz (5),,0,1,,,,,,0.0,0.0,0.0,
DEN,Heavy Blitz (6+),1.0,0,4,,,,,,0.0,0.0,0.0,
DEN,Heavy Blitz (6+),2.0,0,3,,,,,,0.0,0.0,0.0,
DEN,Heavy Blitz (6+),2.0,1,2,,,,,,1.0,0.0,1.0,
DEN,Heavy Blitz (6+),3.0,1,2,,,,,,1.0,0.0,1.0,
DEN,,1.0,0,28,-0.009659014,0.39285713,1.8214285,0.14285715,0.17857143,0.0,0.0,0.0,
DEN,,2.0,0,17,-0.11603117,0.4117647,1.7647059,0.1764706,0.3529412,0.0,0.0,0.0,
DEN,,3.0,0,7,,,,,,0.0,0.0,0.0,
DEN,,4.0,0,2,,,,,,0.0,0.0,0.0,
DET,Light (≤3),1.0,0,2,,,,,,0.0,0.0,0.0,
DET,Light (≤3),2.0,0,5,,,,,,0.0,0.0,0.0,
DET,Light (≤3),2.0,1,1,,,,,,1.0,0.0,1.0,
DET,Light (≤3),3.0,0,3,,,,,,0.0,0.0,0.0,
DET,Base (4),1.0,0,16,0.67354906,0.625,6.125,0.375,0.5625,0.0,0.0,0.0,4.3846154
DET,Base (4),1.0,1,2,,,,,,1.0,0.0,0.0,
