defteam,score_bucket,qtr,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
DEN,Slight Deficit,4.0,11,-0.26134804,0.27272728,3.1818182,0.0,0.09090909,0.0,0.0,0.0,4.5
DEN,Tied,3.0,25,-0.4356609,0.36,4.44,0.04,0.28,0.04,2.0,0.0,5.625
DEN,Tied,4.0,25,-0.33520374,0.32,3.2,0.0,0.16,0.12,0.0,1.0,2.6666667
DEN,Slight Lead,3.0,49,-0.08509537,0.40816328,3.9387755,0.020408163,0.24489796,0.14285714285714285,0.0,2.0,3.5
DEN,Slight Lead,4.0,113,-0.157939,0.30973452,3.902655,0.017699115,0.2300885,0.1415929203539823,0.0,9.0,3.2903225
DEN,Slight Lead,5.0,1,,,,,,0.0,0.0,0.0,
DEN,Leading (7-13),3.0,51,-0.11145487,0.33333334,3.8823528,0.019607844,0.23529412,0.13725490196078433,0.0,2.0,5.125
DEN,Leading (7-13),4.0,58,-0.3340775,0.29310346,3.8275862,0.01724138,0.20689656,0.29310344827586204,1.0,6.0,3.8636363
DEN,Leading (7-13),5.0,11,0.38343403,0.36363637,6.3636365,0.09090909,0.27272728,0.09090909090909091,0.0,0.0,3.6666667
DEN,Up Big,3.0,32,0.13595177,0.4375,5.15625,0.03125,0.28125,0.15625,0.0,1.0,3.3076923
DEN,Up Big,4.0,45,-0.04821278,0.4,5.6444445,0.044444446,0.31111112,0.08888888888888889,1.0,3.0,2.8947368
DET,Down Big,4.0,4,,,,,,0.0,0.0,0.0,
DET,Down (7-13),3.0,27,-0.26577336,0.2962963,4.259259,0.0,0.14814815,0.1111111111111111,0.0,1.0,4.6666665
DET,Down (7-13),4.0,77,-0.08839589,0.4025974,4.5064936,0.025974026,0.23376623,0.05194805194805195,0.0,3.0,3.9230769
DET,Slight Deficit,3.0,67,0.32366207,0.53731346,7.358209,0.07462686,0.35820895,0.014925373134328358,0.0,0.0,7.0434785
DET,Slight Deficit,4.0,53,0.28274125,0.49056605,8.830189,0.094339624,0.3773585,0.07547169811320754,1.0,1.0,5.9166665
DET,Tied,3.0,34,-0.08947819,0.4117647,4.7647057,0.029411765,0.29411766,0.11764705882352941,0.0,4.0,3.5833333
DET,Tied,4.0,4,,,,,,0.25,0.0,0.0,
DET,Slight Lead,3.0,10,0.5221025,0.7,8.8,0.1,0.4,0.1,0.0,0.0,3.0
DET,Slight Lead,4.0,3,,,,,,0.0,0.0,0.0,
DET,Leading (7-13),3.0,63,-0.291778,0.41269842,4.6031747,0.015873017,0.22222222,0.12698412698412698,3.0,2.0,4.9375
DET,Leading (7-13),4.0,51,0.072349794,0.4509804,5.509804,0.039215688,0.33333334,0.17647058823529413,0.0,5.0,4.4761906
DET,Leading (7-13),5.0,12,-0.12869863,0.33333334,3.25,0.0,0.25,0.16666666666666666,0.0,1.0,2.3333333
DET,Up Big,3.0,52,-0.04120046,0.32692307,4.8846154,0.03846154,0.26923078,0.09615384615384616,0.0,3.0,3.357143
DET,Up Big,4.0,97,0.09004534,0.371134,6.0515466,0.072164945,0.30927834,0.1958762886597938,1.0,8.0,5.263158
GB,Down (7-13),3.0,20,-0.5976599,0.3,2.55,0.0,0.15,0.1,0.0,2.0,3.5714285
GB,Down (7-13),4.0,37,-0.22544034,0.3243243,4.9459457,0.027027028,0.27027026,0.05405405405405406,0.0,1.0,6.142857
GB,Slight Deficit,3.0,33,-0.09418324,0.3939394,4.5757575,0.030303031,0.27272728,0.06060606060606061,0.0,0.0,6.75
GB,Slight Deficit,4.0,39,0.14517881,0.35897437,6.025641,0.07692308,0.2820513,0.05128205128205128,0.0,0.0,7.3333335
GB,Tied,3.0,18,0.38513425,0.5555556,6.6666665,0.055555556,0.3888889,0.05555555555555555,0.0,1.0,3.4285715
GB,Tied,4.0,21,0.011764802,0.42857143,3.3333333,0.0,0.33333334,0.09523809523809523,0.0,1.0,2.0
GB,Tied,5.0,13,0.555163,0.3846154,10.769231,0.07692308,0.3846154,0.23076923076923078,0.0,1.0,0.6
GB,Slight Lead,3.0,60,0.016697649,0.41666666,4.8166666,0.033333335,0.3,0.1,0.0,2.0,5.85
GB,Slight Lead,4.0,43,0.35262048,0.60465115,5.627907,0.069767445,0.3488372,0.16279069767441862,0.0,2.0,5.75
GB,Leading (7-13),3.0,78,0.13904409,0.4871795,5.25641,0.051282052,0.34615386,0.11538461538461539,0.0,6.0,3.2
GB,Leading (7-13),4.0,123,-0.053767305,0.40650406,4.8292685,0.024390243,0.2601626,0.11382113821138211,2.0,5.0,4.133333
GB,Up Big,3.0,19,-0.15607989,0.36842105,4.1578946,0.0,0.15789473,0.15789473684210525,0.0,1.0,4.375
GB,Up Big,4.0,62,0.07785657,0.516129,4.887097,0.08064516,0.32258064,0.1935483870967742,2.0,4.0,3.264706
HOU,Down Big,3.0,1,,,,,,0.0,0.0,0.0,
HOU,Down Big,4.0,12,-0.95314115,0.16666667,3.3333333,0.0,0.083333336,0.08333333333333333,1.0,1.0,9.5
HOU,Down (7-13),3.0,38,-0.031532537,0.34210527,5.0263157,0.078947365,0.28947368,0.02631578947368421,0.0,1.0,7.0
HOU,Down (7-13),4.0,12,-0.794554,0.16666667,0.75,0.0,0.083333336,0.08333333333333333,1.0,1.0,5.0
HOU,Slight Deficit,3.0,54,-0.21233426,0.37037036,4.4259257,0.0,0.22222222,0.1111111111111111,0.0,4.0,3.857143
HOU,Slight Deficit,4.0,36,-0.37109292,0.41666666,4.2222223,0.0,0.19444445,0.1388888888888889,1.0,4.0,5.6
HOU,Tied,3.0,2,,,,,,0.0,0.0,0.0,
HOU,Tied,4.0,38,-0.16878778,0.34210527,5.2894735,0.02631579,0.23684211,0.02631578947368421,1.0,0.0,8.333333
HOU,Slight Lead,3.0,71,0.03780604,0.35211268,6.084507,0.04225352,0.26760563,0.08450704225352113,0.0,3.0,6.56
HOU,Slight Lead,4.0,57,-0.25479877,0.47368422,4.6491227,0.05263158,0.2982456,0.15789473684210525,1.0,5.0,6.111111
HOU,Leading (7-13),3.0,36,-0.14051262,0.3611111,3.8611112,0.055555556,0.19444445,0.16666666666666666,0.0,3.0,2.2
HOU,Leading (7-13),4.0,93,-0.083869115,0.40860215,5.7311826,0.043010753,0.24731183,0.12903225806451613,3.0,6.0,4.394737
HOU,Up Big,3.0,54,0.23115003,0.5185185,6.648148,0.074074075,0.4074074,0.05555555555555555,2.0,1.0,6.1904764
HOU,Up Big,4.0,34,-0.41115314,0.4117647,3.4411764,0.029411765,0.23529412,0.08823529411764706,2.0,2.0,4.5
IND,Down Big,3.0,13,0.02842514,0.3846154,4.6153846,0.0,0.23076923,0.0,0.0,0.0,6.0
IND,Down Big,4.0,27,-0.46331733,0.18518518,2.9629629,0.0,0.14814815,0.0,1.0,0.0,5.1
IND,Down (7-13),3.0,25,0.39652523,0.56,7.64,0.04,0.44,0.0,0.0,0.0,5.0
IND,Down (7-13),4.0,19,0.08568722,0.42105263,4.631579,0.10526316,0.31578946,0.05263157894736842,0.0,1.0,4.0
IND,Slight Deficit,3.0,51,-0.08247627,0.4117647,4.72549,0.019607844,0.25490198,0.09803921568627451,0.0,2.0,4.625
IND,Slight Deficit,4.0,40,-0.20516816,0.4,4.45,0.0,0.2,0.0,1.0,0.0,7.8333335
IND,Tied,3.0,12,0.5860923,0.5833333,8.0,0.083333336,0.5,0.16666666666666666,0.0,0.0,2.1666667
IND,Tied,4.0,29,0.11552132,0.31034482,6.793103,0.06896552,0.2413793,0.13793103448275862,0.0,0.0,15.0
IND,Tied,5.0,16,-0.12628971,0.3125,4.25,0.0,0.25,0.125,0.0,1.0,5.5
IND,Slight Lead,3.0,56,0.14084002,0.5,6.178571,0.035714287,0.3392857,0.07142857142857142,0.0,0.0,5.6875
IND,Slight Lead,4.0,64,-0.0065084803,0.46875,6.0625,0.015625,0.328125,0.078125,0.0,3.0,6.3636365
IND,Leading (7-13),3.0,23,0.03425851,0.4347826,6.2608695,0.0,0.3043478,0.043478260869565216,0.0,0.0,7.0
IND,Leading (7-13),4.0,24,0.3190154,0.625,6.5,0.083333336,0.41666666,0.125,0.0,1.0,6.5384617
IND,Up Big,3.0,78,-0.15273878,0.44871795,5.6153846,0.03846154,0.26923078,0.07692307692307693,2.0,2.0,4.7714286
IND,Up Big,4.0,107,0.06438767,0.47663552,4.1682243,0.037383176,0.2990654,0.14953271028037382,1.0,8.0,4.0930233
JAX,Down Big,3.0,19,-0.5851852,0.21052632,2.7368422,0.0,0.05263158,0.21052631578947367,0.0,0.0,1.0
JAX,Down Big,4.0,15,0.31175038,0.4,5.133333,0.13333334,0.26666668,0.0,0.0,0.0,3.25
JAX,Down (7-13),3.0,11,0.4109396,0.6363636,7.7272725,0.09090909,0.36363637,0.0,0.0,0.0,4.8
JAX,Down (7-13),4.0,14,-0.27217817,0.2857143,5.714286,0.0,0.14285715,0.21428571428571427,0.0,1.0,11.0
JAX,Slight Deficit,3.0,10,-1.0598986,0.2,2.6,0.0,0.1,0.1,1.0,0.0,2.5
JAX,Slight Deficit,4.0,1,,,,,,0.0,0.0,0.0,
JAX,Tied,3.0,24,-0.61816746,0.41666666,4.2916665,0.041666668,0.33333334,0.08333333333333333,2.0,1.0,5.6666665
JAX,Tied,4.0,10,-0.9506706,0.3,4.0,0.0,0.1,0.2,1.0,1.0,5.75
JAX,Slight Lead,3.0,18,-0.62168247,0.22222222,0.6111111,0.055555556,0.16666667,0.1111111111111111,1.0,2.0,0.5
JAX,Slight Lead,4.0,95,0.098120295,0.50526315,5.6210527,0.06315789,0.35789475,0.09473684210526316,2.0,3.0,5.74359
JAX,Slight Lead,5.0,9,,,,,,0.1111111111111111,0.0,1.0,
JAX,Leading (7-13),3.0,49,0.23658583,0.48979592,7.2244897,0.08163265,0.3469388,0.04081632653061224,0.0,1.0,4.1
JAX,Leading (7-13),4.0,37,0.20226197,0.4864865,8.081081,0.10810811,0.35135135,0.02702702702702703,2.0,0.0,6.5882354
JAX,Leading (7-13),5.0,8,,,,,,0.125,0.0,1.0,
JAX,Up Big,3.0,71,-0.39641273,0.26760563,3.5211267,0.0,0.15492958,0.08450704225352113,0.0,3.0,2.16
JAX,Up Big,4.0,139,-0.25862843,0.38848922,4.244604,0.02877698,0.2589928,0.11510791366906475,6.0,6.0,3.5344827
KC,Down Big,4.0,13,0.28435823,0.53846157,5.8461537,0.0,0.30769232,0.0,0.0,0.0,5.3333335
KC,Down (7-13),3.0,40,-0.11535376,0.35,5.025,0.025,0.25,0.15,0.0,0.0,6.8
KC,Down (7-13),4.0,48,-0.17117287,0.33333334,4.2291665,0.020833334,0.20833333,0.10416666666666667,1.0,2.0,4.4444447
